country_name,year,num_outbreaks,diseases_list,total_confirmed_cases,total_outbreak_deaths,avg_cfr,iso3,total_vaccinations,people_fully_vaccinated,total_boosters,vaccinations_per_hundred,fully_vaccinated_per_hundred,max_daily_vaccinations,who_alerts,who_diseases,who_total_cases,who_total_deaths,who_avg_cfr,who_high_risk_alerts
Chad,2021.0,,,,,,TCD,285922.0,80663.0,,1.61,0.46,4722.0,,,,,,
Chad,2022.0,,,,,,TCD,3891785.0,3625087.0,,21.96,20.45,141029.0,,,,,,
Chad,2023.0,,,,,,TCD,9151765.0,5020360.0,4042573.0,51.64,28.33,153584.0,,,,,,
Chile,2009.0,1.0,H1N1 Influenza Pandemic,12258.0,156.0,1.27,,,,,,,,,,,,,
Chile,2020.0,1.0,COVID-19,614000.0,16400.0,2.7,CHL,8648.0,,,0.04,,4779.0,,,,,,
Chile,2021.0,,,,,,CHL,44314172.0,16547811.0,11032389.0,226.05,84.41,298755.0,,,,,,
Chile,2022.0,,,,,,CHL,62623838.0,17695792.0,27419809.0,319.45,90.27,163834.0,,,,,,
Chile,2023.0,,,,,,CHL,66864900.0,17700117.0,27474929.0,341.08,90.29,14791.0,,,,,,
China,2002.0,1.0,SARS,5327.0,349.0,6.6,,,,,,,,,,,,,
China,2003.0,1.0,H5N1 Avian Influenza,53.0,31.0,58.5,,,,,,,,,,,,,
China,2009.0,1.0,H1N1 Influenza Pandemic,120940.0,800.0,0.66,,,,,,,,,,,,,
China,2015.0,1.0,MERS,1.0,0.0,0.0,,,,,,,,,,,,,
China,2020.0,1.0,COVID-19,87000.0,4634.0,5.3,CHN,4500000.0,,,0.32,,187500.0,,,,,,
China,2021.0,,,,,,CHN,2835332000.0,1207413000.0,120580000.0,198.85,84.68,22424286.0,,,,,,
China,2022.0,,,,,,CHN,3478094000.0,1274018000.0,815718000.0,243.92,89.35,11882143.0,,,,,,
China,2023.0,,,,,,CHN,3491077000.0,1276760000.0,826913000.0,244.84,89.54,952714.0,,,,,,
China,2024.0,,,,,,,,,,,,,1.0,Influenza A (H5N1) virus,0.0,0.0,,0.0
Cholera in Liberia,2021.0,,,,,,,,,,,,,0.0,2002,0.0,0.0,,0.0
Cholera in the Comoros Islands,2021.0,,,,,,,,,,,,,0.0,1998,0.0,0.0,,0.0
CoV) - update,2013.0,,,,,,,,,,,,,0.0,Middle East respiratory syndrome coronavirus (MERS,0.0,0.0,,0.0
CoV) – Saudi Arabia,2021.0,,,,,,,,,,,,,2.0,Middle East respiratory syndrome coronavirus (MERS,0.0,0.0,,2.0
CoV) – update,2014.0,,,,,,,,,,,,,0.0,Middle East respiratory syndrome coronavirus (MERS,0.0,0.0,,0.0
Colombia,2003.0,1.0,SARS,1.0,0.0,0.0,,,,,,,,,,,,,
Colombia,2009.0,1.0,H1N1 Influenza Pandemic,4310.0,272.0,6.31,,,,,,,,,,,,,
Colombia,2010.0,1.0,Dengue,157152.0,217.0,0.14,,,,,,,,,,,,,
Colombia,2015.0,1.0,Zika Virus,105000.0,5.0,,,,,,,,,,,,,,
Colombia,2019.0,1.0,Dengue,127553.0,93.0,0.07,,,,,,,,,,,,,
Colombia,2020.0,1.0,COVID-19,1643000.0,43200.0,2.6,,,,,,,,,,,,,
Colombia,2021.0,,,,,,COL,64690489.0,28323837.0,3324832.0,124.71,54.6,414465.0,,,,,,
Colombia,2022.0,,,,,,COL,89787647.0,36879309.0,14521436.0,173.09,71.09,278525.0,,,,,,
Colombia,2023.0,,,,,,COL,90931192.0,37204128.0,14944212.0,175.29,71.72,15599.0,,,,,,
Comoros,2021.0,,,,,,COM,581547.0,246139.0,,69.5,29.41,5633.0,,,,,,
Comoros,2022.0,,,,,,COM,835021.0,397080.0,,99.79,47.45,7718.0,,,,,,
Congo,2021.0,,,,,,COG,758891.0,135954.0,,12.71,2.28,7088.0,,,,,,
Congo,2022.0,,,,,,COG,833210.0,654119.0,,13.96,10.96,2283.0,,,,,,
Cook Islands,2021.0,,,,,,COK,25339.0,12498.0,,148.77,73.38,812.0,,,,,,
Cook Islands,2022.0,,,,,,COK,40781.0,14715.0,10209.0,239.44,86.4,1433.0,,,,,,
Cook Islands,2023.0,,,,,,COK,40854.0,14728.0,10240.0,239.87,86.47,1.0,,,,,,
