country_name,iso3,year,health_expenditure_pct_gdp,country_code,vaccination_coverage_pct,vaccination_capacity_daily,active_who_alerts,outbreak_deaths
Czechia,CZE,2005,5.502,EZ,,,,
Czechia,CZE,2006,5.321,EZ,,,,
Czechia,CZE,2007,5.073,EZ,,,,
Czechia,CZE,2008,5.204,EZ,,,,
Czechia,CZE,2009,6.05,EZ,,,,
Czechia,CZE,2010,6.376,EZ,,,,
Czechia,CZE,2011,6.344,EZ,,,,
Czechia,CZE,2012,6.406,EZ,,,,
Czechia,CZE,2013,6.316,EZ,,,,
Czechia,CZE,2014,6.357,EZ,,,,
Czechia,CZE,2015,6.178,EZ,,,,
Czechia,CZE,2016,6.213,EZ,,,,
Czechia,CZE,2017,6.146,EZ,,,,
Czechia,CZE,2018,6.266,EZ,,,,
Czechia,CZE,2019,6.355,EZ,,,,
Czechia,CZE,2020,7.915,EZ,0.0,3093.0,,
Czechia,,2021,,,63.48,98393.0,,
Czechia,,2022,,,65.69,75918.0,,
Czechia,,2023,,,65.71,7901.0,,
Czechia,,2024,,,65.71,830.0,,
Democratic Republic of Congo,,2021,,,0.12,7326.0,,
Democratic Republic of Congo,,2022,,,6.92,68808.0,,
Democratic Republic of Congo,,2023,,,14.54,99124.0,,
Democratic Republic of the Congo,,2024,,,,,1.0,0.0
Denmark,DNK,2000,6.74,DA,,,,
Denmark,DNK,2001,7.043,DA,,,,
Denmark,DNK,2002,7.287,DA,,,,
Denmark,DNK,2003,7.46,DA,,,,
Denmark,DNK,2004,7.507,DA,,,,
Denmark,DNK,2005,7.593,DA,,,,
Denmark,DNK,2006,7.676,DA,,,,
Denmark,DNK,2007,7.787,DA,,,,
Denmark,DNK,2008,7.955,DA,,,,
Denmark,DNK,2009,8.977,DA,,,,
Denmark,DNK,2010,8.912,DA,,,,
Denmark,DNK,2011,8.708,DA,,,,
Denmark,DNK,2012,8.871,DA,,,,
Denmark,DNK,2013,8.679,DA,,,,
Denmark,DNK,2014,8.692,DA,,,,
Denmark,DNK,2015,8.726,DA,,,,
Denmark,DNK,2016,8.641,DA,,,,
Denmark,DNK,2017,8.491,DA,,,,
Denmark,DNK,2018,8.494,DA,,,,
Denmark,DNK,2019,8.526,DA,,,,
Denmark,DNK,2020,9.018,DA,,619.0,,
Denmark,,2021,,,76.63,124721.0,,
Denmark,,2022,,,80.09,74171.0,,
Denmark,,2023,,,80.11,1021.0,,
Djibouti,,2021,,,2.33,802.0,,
Djibouti,,2022,,,26.5,2149.0,,
Djibouti,,2023,,,35.79,695.0,,
Dominica,,2021,,,37.96,901.0,,
Dominica,,2022,,,42.14,543.0,,
Dominican Republic,,2021,,,50.76,184208.0,,
Dominican Republic,,2022,,,54.07,42083.0,,
Dominican Republic,,2023,,,54.6,1601.0,,
Ebola haemorrhagic fever in Gabon (new outbreak) - Update 12,,2021,,,,,0.0,0.0
Ecuador,,2021,,,70.5,354692.0,,
Ecuador,,2022,,,78.97,110806.0,,
Ecuador,,2023,,,79.11,4735.0,,
Egypt,,2021,,,18.58,615408.0,,
Egypt,,2022,,,36.12,424464.0,,
Egypt,,2023,,,38.15,335527.0,,
El Salvador,,2021,,,65.6,72435.0,,
El Salvador,,2022,,,68.56,17092.0,,
England,,2021,,,70.41,831591.0,,
England,,2022,,,75.84,336517.0,,
England,,2023,,,75.95,117947.0,,
Equatorial Guinea,,2021,,,12.14,5013.0,,
Equatorial Guinea,,2022,,,12.78,565.0,,
Estonia,EST,2000,3.974,EN,,,,
Estonia,EST,2001,3.749,EN,,,,
Estonia,EST,2002,3.6,EN,,,,
Estonia,EST,2003,3.914,EN,,,,
Estonia,EST,2004,3.972,EN,,,,
Estonia,EST,2005,3.942,EN,,,,
Estonia,EST,2006,3.742,EN,,,,
Estonia,EST,2007,3.92,EN,,,,
Estonia,EST,2008,4.549,EN,,,,
Estonia,EST,2009,5.271,EN,,,,
Estonia,EST,2010,4.975,EN,,,,
Estonia,EST,2011,4.586,EN,,,,
Estonia,EST,2012,4.567,EN,,,,
Estonia,EST,2013,4.623,EN,,,,
Estonia,EST,2014,4.686,EN,,,,
Estonia,EST,2015,4.871,EN,,,,
Estonia,EST,2016,4.904,EN,,,,
Estonia,EST,2017,4.758,EN,,,,
Estonia,EST,2018,4.835,EN,,,,
Estonia,EST,2019,4.949,EN,,,,
Estonia,EST,2020,5.761,EN,0.01,571.0,,
Estonia,,2021,,,62.42,10161.0,,
Estonia,,2022,,,64.93,4696.0,,
Estonia,,2023,,,65.05,1151.0,,
Estonia,,2024,,,65.06,130.0,,
Eswatini,,2021,,,25.07,11049.0,,
Eswatini,,2022,,,28.47,4391.0,,
Eswatini,,2023,,,35.56,1349.0,,
Ethiopia,,2021,,,,474622.0,,
Ethiopia,,2022,,,29.75,2808915.0,,
Ethiopia,,2023,,,35.38,705473.0,,
Europe,,2020,,,0.0,158968.0,,
Europe,,2021,,,60.55,5945288.0,,
Europe,,2022,,,66.02,4128925.0,,
Europe,,2023,,,66.29,198891.0,,
Europe,,2024,,,66.29,8476.0,,
European Union,,2020,,,0.0,89234.0,,
European Union,,2021,,,68.3,4206856.0,,
European Union,,2022,,,72.73,3237276.0,,
European Union,,2023,,,72.86,133980.0,,
European Union,,2024,,,72.86,8476.0,,
Faeroe Islands,,2021,,,76.3,1001.0,,
Faeroe Islands,,2022,,,76.99,457.0,,
Falkland Islands,,2021,,,46.7,189.0,,
Fiji,,2021,,,65.13,14274.0,,
Fiji,,2022,,,68.89,17149.0,,
Fiji,,2023,,,68.96,158.0,,
Finland,FIN,2000,5.259,FI,,,,
Finland,FIN,2001,5.408,FI,,,,
Finland,FIN,2002,5.731,FI,,,,
Finland,FIN,2003,5.992,FI,,,,
Finland,FIN,2004,6.127,FI,,,,
Finland,FIN,2005,6.313,FI,,,,
Finland,FIN,2006,6.403,FI,,,,
Finland,FIN,2007,6.24,FI,,,,
Finland,FIN,2008,6.456,FI,,,,
Finland,FIN,2009,7.102,FI,,,,
Finland,FIN,2010,7.047,FI,,,,
Finland,FIN,2011,7.171,FI,,,,
Finland,FIN,2012,7.519,FI,,,,
Finland,FIN,2013,7.674,FI,,,,
Finland,FIN,2014,7.67,FI,,,,
Finland,FIN,2015,7.463,FI,,,,
Finland,FIN,2016,7.208,FI,,,,
Finland,FIN,2017,7.024,FI,,,,
Finland,FIN,2018,7.006,FI,,,,
Finland,FIN,2019,7.182,FI,,,,
Finland,FIN,2020,7.669,FI,,,,
Finland,,2021,,,73.73,49317.0,,
Finland,,2022,,,78.44,72110.0,,
Finland,,2023,,,78.46,3083.0,,
Finland,,2024,,,78.46,655.0,,
France,FRA,2000,7.586,FR,,,,
France,FRA,2001,7.7,FR,,,,
France,FRA,2002,7.983,FR,,,,
France,FRA,2003,7.984,FR,,,,
France,FRA,2004,8.045,FR,,,,
France,FRA,2005,8.055,FR,,,,
France,FRA,2006,8.03,FR,,,,
France,FRA,2007,7.96,FR,,,,
France,FRA,2008,8.042,FR,,,,
France,FRA,2009,8.639,FR,,,,
France,FRA,2010,8.464,FR,,,,
France,FRA,2011,8.406,FR,,,,
France,FRA,2012,8.542,FR,,,,
France,FRA,2013,8.662,FR,,,,
France,FRA,2014,8.762,FR,,,,
France,FRA,2015,8.714,FR,,,,
France,FRA,2016,9.5,FR,,,,
France,FRA,2017,9.434,FR,,,,
France,FRA,2018,9.341,FR,,,,
France,FRA,2019,9.256,FR,,,,
France,FRA,2020,10.221,FR,0.0,711.0,,
France,,2021,,,73.21,734590.0,,
France,,2022,,,78.38,652198.0,,
France,,2023,,,78.44,33920.0,,
French Polynesia,,2021,,,51.94,3216.0,,
French Polynesia,,2022,,,60.75,12050.0,,
French Polynesia,,2023,,,60.99,73.0,,
Gabon,,2021,,,7.25,7131.0,,
